,shards,hits@10,hits@10_dfs,hits@5,hits@5_dfs,hits@3,hits@3_dfs,hits@1,hits@1_dfs
0,1,0.9347826086956522,0.9347826086956522,0.8532608695652174,0.8532608695652174,0.7934782608695652,0.7934782608695652,0.5815217391304348,0.5815217391304348
1,2,0.9239130434782609,0.9347826086956522,0.8478260869565217,0.8532608695652174,0.7771739130434783,0.7934782608695652,0.5706521739130435,0.5815217391304348
2,3,0.9239130434782609,0.9347826086956522,0.8532608695652174,0.8532608695652174,0.7934782608695652,0.7934782608695652,0.5543478260869565,0.5815217391304348
3,4,0.9130434782608695,0.9347826086956522,0.8369565217391305,0.8532608695652174,0.7554347826086957,0.7934782608695652,0.5706521739130435,0.5815217391304348
4,5,0.9184782608695652,0.9347826086956522,0.8532608695652174,0.8532608695652174,0.7771739130434783,0.7934782608695652,0.5760869565217391,0.5815217391304348
5,6,0.907608695652174,0.9347826086956522,0.8315217391304348,0.8532608695652174,0.7391304347826086,0.7934782608695652,0.5,0.5815217391304348
6,7,0.9130434782608695,0.9347826086956522,0.842391304347826,0.8532608695652174,0.7663043478260869,0.7934782608695652,0.5271739130434783,0.5815217391304348
7,8,0.8913043478260869,0.9347826086956522,0.8206521739130435,0.8532608695652174,0.7282608695652174,0.7934782608695652,0.483695652173913,0.5815217391304348
8,9,0.9293478260869565,0.9347826086956522,0.8532608695652174,0.8532608695652174,0.7989130434782609,0.7934782608695652,0.5054347826086957,0.5815217391304348
9,10,0.907608695652174,0.9347826086956522,0.8315217391304348,0.8532608695652174,0.7554347826086957,0.7934782608695652,0.5217391304347826,0.5815217391304348
10,15,0.9130434782608695,0.9347826086956522,0.8097826086956522,0.8532608695652174,0.7282608695652174,0.7934782608695652,0.46195652173913043,0.5815217391304348
11,20,0.875,0.9347826086956522,0.8206521739130435,0.8532608695652174,0.7282608695652174,0.7934782608695652,0.5,0.5815217391304348
12,30,0.8858695652173914,0.9347826086956522,0.7608695652173914,0.8532608695652174,0.6739130434782609,0.7934782608695652,0.4782608695652174,0.5815217391304348
